BULAN,KUNJUNGAN
 JANUARI ," 43,442 "
 PEBRUARI ," 21,049 "
 MARET ," 47,234 "
 APRIL ," 40,035 "
 MEI ," 116,965 "
 JUNI ," 61,847 "
 JULI ," 1,095 "
 AGUSTUS  ,
 SEPTEMBER  ," 27,333 "
 OKTOBER ," 28,716 "
 NOPEMBER ," 38,099 "
 DESEMBER ," 56,133 "
