BULAN,KUNJUNGAN
 JANUARI ," 31,961 "
 PEBRUARI ," 24,976 "
 MARET ," 17,374 "
 APRIL ," 32,595 "
 MEI ," 37,081 "
 JUNI ," 42,029 "
 JULI ," 49,726 "
 AGUSTUS  ," 29,769 "
 SEPTEMBER  ," 30,491 "
 OKTOBER ," 34,807 "
 NOPEMBER ," 28,066 "
 DESEMBER ," 62,533 "
