BULAN,KUNJUNGAN
 JANUARI ," 20,828 "
 PEBRUARI ," 10,661 "
 MARET ," 8,196 "
 APRIL ," 38,282 "
 MEI ," 20,468 "
 JUNI ," 11,999 "
 JULI ," 13,355 "
 AGUSTUS  ," 5,498 "
 SEPTEMBER  ," 6,876 "
 OKTOBER ," 11,326 "
 NOPEMBER ," 6,779 "
 DESEMBER ," 20,249 "
