BULAN,KUNJUNGAN
 JANUARI , 294 
 PEBRUARI , 825 
 MARET , 384 
 APRIL , 653 
 MEI ," 1,039 "
 JUNI , 410 
 JULI , 574 
 AGUSTUS  , 427 
 SEPTEMBER  , 383 
 OKTOBER , 829 
 NOPEMBER , 248 
 DESEMBER ," 1,110 "
