BULAN,KUNJUNGAN
 JANUARI ," 1,932 "
 PEBRUARI ," 1,715 "
 MARET ," 1,456 "
 APRIL , 777 
 MEI ," 1,281 "
 JUNI ," 1,512 "
 JULI ," 1,323 "
 AGUSTUS  , 129 
 SEPTEMBER  ," 1,477 "
 OKTOBER ," 1,323 "
 NOPEMBER ," 1,582 "
 DESEMBER ," 1,141 "
