BULAN,KUNJUNGAN
 JANUARI , 410 
 PEBRUARI , 402 
 MARET , 75 
 APRIL , -   
 MEI , -   
 JUNI , -   
 JULI , 53 
 AGUSTUS  , 725 
 SEPTEMBER  , 369 
 OKTOBER , 166 
 NOPEMBER , 315 
 DESEMBER , 358 
