BULAN,KUNJUNGAN
 JANUARI ," 69,777 "
 PEBRUARI ," 23,901 "
 MARET ," 41,180 "
 APRIL ," 7,354 "
 MEI ," 137,719 "
 JUNI ," 56,439 "
 JULI ," 67,047 "
 AGUSTUS  ," 51,912 "
 SEPTEMBER  ," 41,204 "
 OKTOBER ," 38,466 "
 NOPEMBER ," 24,392 "
 DESEMBER ," 60,205 "
