BULAN,KUNJUNGAN
 JANUARI , 642 
 PEBRUARI , 643 
 MARET , 374 
 APRIL , 714 
 MEI , 426 
 JUNI , 453 
 JULI , 675 
 AGUSTUS  , 344 
 SEPTEMBER  , 272 
 OKTOBER , 587 
 NOPEMBER , 639 
 DESEMBER ," 1,253 "
