BULAN,KUNJUNGAN
 JANUARI , 177 
 PEBRUARI , 193 
 MARET , 131 
 APRIL , 487 
 MEI , 205 
 JUNI , 211 
 JULI , 266 
 AGUSTUS  , 129 
 SEPTEMBER  , 112 
 OKTOBER , 227 
 NOPEMBER , 248 
 DESEMBER , 348 
