BULAN,KUNJUNGAN
 JANUARI , 486 
 PEBRUARI , 222 
 MARET , 318 
 APRIL , 206 
 MEI ," 2,081 "
 JUNI , 725 
 JULI , 10 
 AGUSTUS  ,
 SEPTEMBER  , 283 
 OKTOBER , 312 
 NOPEMBER , 476 
 DESEMBER , 893 
