BULAN,KUNJUNGAN
 JANUARI , 300 
 PEBRUARI , 122 
 MARET , 94 
 APRIL , 793 
 MEI , 264 
 JUNI , 410 
 JULI , 564 
 AGUSTUS  , 364 
 SEPTEMBER  , 285 
 OKTOBER , 450 
 NOPEMBER , 122 
 DESEMBER , 699 
