BULAN,KUNJUNGAN
 JANUARI ," 11,840 "
 PEBRUARI ," 4,170 "
 MARET ," 14,788 "
 APRIL ," 12,967 "
 MEI ," 44,644 "
 JUNI ," 24,459 "
 JULI ,
 AGUSTUS  ,
 SEPTEMBER  ," 11,927 "
 OKTOBER ," 15,192 "
 NOPEMBER ," 28,220 "
 DESEMBER ," 35,646 "
