BULAN,KUNJUNGAN
 JANUARI , 861 
 PEBRUARI , 272 
 MARET , 501 
 APRIL , 68 
 MEI ," 2,607 "
 JUNI , 640 
 JULI , 988 
 AGUSTUS  , 561 
 SEPTEMBER  , 597 
 OKTOBER , 323 
 NOPEMBER , 155 
 DESEMBER , 634 
