BULAN,KUNJUNGAN
 JANUARI , 865 
 PEBRUARI , 227 
 MARET , 347 
 APRIL , -   
 MEI , -   
 JUNI , -   
 JULI , 36 
 AGUSTUS  , 586 
 SEPTEMBER  , 189 
 OKTOBER , 102 
 NOPEMBER , 313 
 DESEMBER , 373 
