BULAN,KUNJUNGAN
 JANUARI ," 37,482 "
 PEBRUARI ," 14,823 "
 MARET ," 28,303 "
 APRIL ," 2,735 "
 MEI ," 61,106 "
 JUNI ," 42,477 "
 JULI ," 42,789 "
 AGUSTUS  ," 35,506 "
 SEPTEMBER  ," 24,811 "
 OKTOBER ," 25,028 "
 NOPEMBER ," 16,943 "
 DESEMBER ," 42,292 "
